	
Prende
	
8469	0	190	272	319
8652	0	138	217	273
8835	0	133	207	259
9018	0	131	204	253
9200	0	128	197	245
9383	0	127	195	243
9566	0	130	200	248
9749	0	131	202	250
9931	0	129	200	246
10114	0	126	194	240
10297	0	129	198	245
10480	0	131	202	248
10662	0	130	201	248
10846	0	126	195	241
11028	0	127	196	242
11211	0	130	200	247
11394	0	130	201	248
11577	0	127	197	242
11759	0	126	194	240
11942	0	130	199	246
12125	0	130	201	248
12308	0	128	198	244
12490	0	125	193	239
12674	0	128	198	245
12856	0	131	201	248
13043	0	127	196	241
13225	0	126	194	241
13409	0	129	199	247
13591	0	130	201	249
13774	0	127	197	243
13957	0	125	193	239
14140	0	128	198	244
14322	0	129	201	248
14505	0	127	199	245
14688	0	125	193	238
14871	0	128	197	243
15053	0	130	201	247
15237	0	130	200	247
15419	0	126	194	239
15602	0	126	194	241
15784	0	130	200	246
15968	0	130	201	247
16151	0	126	196	241
16333	0	125	193	239
16517	0	129	198	245
16699	0	130	201	248
16882	0	128	198	244
17064	0	125	192	239
17248	0	128	197	244
17434	0	130	202	248
17616	0	126	195	240
17800	0	126	194	240
17982	0	129	199	245
18165	0	129	200	247
18348	0	127	196	242
18531	0	124	192	238
18713	0	128	197	244
18896	0	129	200	247
19079	0	128	199	244
19262	0	125	192	238
19445	0	127	196	242
19628	0	129	200	247
19811	0	129	200	247
19993	0	125	194	240
20176	0	126	194	240
20359	0	129	199	246
20542	0	129	200	247
20724	0	127	196	242
20908	0	124	192	238
21090	0	128	197	244
21273	0	129	200	247
21455	0	129	199	245
21639	0	125	193	238
21825	0	129	200	246
22007	0	129	200	247
22191	0	126	195	241
22373	0	125	193	239
22556	0	128	198	245
22738	0	130	200	247
22922	0	128	198	244
23105	0	125	192	238
23287	0	128	197	243
23471	0	130	201	247
23653	0	129	200	246
23836	0	125	193	239
24018	0	126	194	241
24202	0	129	199	246
24384	0	129	200	247
24567	0	126	195	241
24750	0	125	193	239
24933	0	128	198	244
25115	0	129	200	247
25298	0	128	197	243
25481	0	124	192	238
25664	0	128	197	243
25846	0	130	200	247
26030	0	129	200	246
26213	0	125	193	238
26399	0	129	199	245
26582	0	129	200	247
26765	0	127	196	242
26947	0	124	192	239
27130	0	128	197	243
27313	0	130	200	247
27496	0	129	199	245
27678	0	125	192	238
27862	0	127	196	242
28044	0	130	200	246
28227	0	128	199	246
28409	0	125	193	239
28593	0	125	193	240
28775	0	129	198	245
28958	0	129	200	246
29140	0	126	195	241
29324	0	124	192	238
29507	0	128	196	243
29689	0	129	200	246
29873	0	128	198	243
30055	0	125	192	238
30238	0	128	196	242
30420	0	130	200	246
30604	0	129	199	245
30790	0	125	193	240
30972	0	129	198	245
31156	0	129	200	246
31338	0	128	197	242
31521	0	124	192	238
31704	0	128	196	243
31887	0	129	200	246
32069	0	129	199	245
32252	0	125	192	238
32435	0	127	195	241
32618	0	130	200	246
32801	0	129	200	246
32984	0	127	194	240
33167	0	125	193	239
33349	0	129	198	245
33532	0	130	200	247
33715	0	127	196	242
33898	0	125	192	238
34080	0	128	197	243
34264	0	129	199	246
34446	0	128	198	244
34629	0	125	192	238
34811	0	127	196	242
34995	0	130	200	246
35177	0	129	200	246
35363	0	125	192	239
35547	0	128	197	244
35729	0	129	200	246
35912	0	128	197	243
36096	0	124	192	238
36278	0	129	197	243
36461	0	130	200	246
36643	0	129	199	245
36827	0	125	193	238
37009	0	126	194	241
37192	0	129	199	245
37374	0	129	199	246
37558	0	126	194	240
37740	0	126	193	239
37923	0	129	198	244
38106	0	129	200	246
38289	0	127	196	241
38471	0	124	192	238
38654	0	128	197	243
38837	0	130	200	246
39020	0	128	198	244
39202	0	125	193	238
39386	0	127	195	241
39569	0	130	200	246
39754	0	127	196	241
39938	0	125	192	238
40120	0	128	197	244
40303	0	130	200	246
40486	0	128	198	243
40669	0	124	192	238
40852	0	127	196	242
41034	0	130	200	247
41218	0	129	199	246
41400	0	125	193	238
41583	0	126	194	241
41765	0	129	199	246
41949	0	129	200	246
42131	0	126	194	240
42314	0	125	192	239
42497	0	128	198	244
42680	0	129	200	246
42862	0	128	197	242
43045	0	124	192	238
43228	0	128	197	243
43411	0	130	200	247
43593	0	129	200	245
43777	0	125	192	238
43960	0	127	195	241
44145	0	130	201	247
44328	0	126	195	241
44511	0	125	193	239
44694	0	128	197	244
44877	0	129	199	246
45060	0	128	197	243
45243	0	124	192	238
45425	0	127	195	242
45608	0	130	200	246
45791	0	128	199	245
45974	0	125	192	238
46156	0	127	195	242
46340	0	129	199	246
46522	0	129	199	246
46705	0	126	194	239
46887	0	126	193	240
47071	0	129	198	244
47253	0	129	200	246
47436	0	126	195	241
47619	0	124	192	238
47802	0	128	197	243
47985	0	129	200	246
48167	0	128	197	243
48351	0	124	192	237
48533	0	127	196	242
48719	0	130	201	247
48903	0	126	195	240
	
Apaga
	
