	
Prende
	
8658	22
8869	0
9080	0
9290	0
9501	0
9712	0
9923	108
10134	534
10345	295
10556	611
10767	551
10978	281
11189	605
11400	397
11612	427
11823	584
12034	511
12244	596
12455	581
12666	605
12877	554
13088	482
13299	524
13510	653
13721	746
13932	375
14144	737
14355	464
14566	561
14777	793
14988	662
15199	0
15410	0
15621	4
15832	4
16043	6
16253	0
16464	3
16674	0
16885	0
	
Apaga
	
	
Prende
	
25525	0
25736	0
25947	0
26157	0
26368	0
26578	0
26789	525
27000	668
27215	342
27426	490
27637	627
27848	597
28059	615
28270	533
28481	650
28692	756
28904	727
29115	801
29326	718
29537	726
29748	761
29959	790
30170	731
30381	748
30592	0
30802	0
31013	0
31224	3
31435	1
31646	0
31857	0
32068	0
32279	0
	
Apaga
	
	
Prende
	
11826	25
12037	0
12248	0
12459	0
12668	0
12879	0
13090	0
13301	0
13512	0
13723	0
13934	394
14145	187
14356	671
14567	600
14778	674
14989	581
15200	426
15412	514
15623	3
15834	561
16045	58
16256	549
16485	442
16696	689
16907	578
17118	254
17329	169
17540	530
17751	624
17961	473
18172	65
18383	0
18594	0
18805	0
19016	0
19227	0
19438	0
19649	0
19860	0
20071	0
20282	0
20493	0
20703	0
20914	0
21125	0
21336	0
21547	0
21757	0
21968	0
22179	0
22390	0
22601	0
22812	0
23023	0
23233	0
23444	0
23655	0
23866	0
24077	0
24288	0
	
Apaga
	
	
Prende
	
4830	23
5041	0
5252	0
5463	0
5673	0
5883	0
6094	0
6305	0
6516	0
6727	0
6938	24
7148	269
7359	679
7570	628
7781	443
8010	495
8221	505
8432	724
8643	678
8854	250
9065	745
9276	570
9487	92
9698	77
9909	611
10120	277
10331	733
10542	690
10753	251
10963	0
11174	0
11385	0
11596	0
11807	0
12018	0
12229	0
12440	0
	
Apaga
	
