Multi Timer Lap list
abre puerta
No ; Duration ; Lap
1 ; 00:01:01.375 ; 00:01:01.375
2 ; 00:02:33.975 ; 00:01:32.600
3 ; 00:03:48.524 ; 00:01:14.549
4 ; 00:05:32.904 ; 00:01:44.380
5 ; 00:07:04.469 ; 00:01:31.565
6 ; 00:08:36.932 ; 00:01:32.463
7 ; 00:10:58.015 ; 00:02:21.083
8 ; 00:13:06.182 ; 00:02:08.167
9 ; 00:14:58.040 ; 00:01:51.858
10 ; 00:16:26.867 ; 00:01:28.827
11 ; 00:17:56.864 ; 00:01:29.997
12 ; 00:21:00.759 ; 00:03:03.895
13 ; 00:22:46.585 ; 00:01:45.826
14 ; 00:24:16.953 ; 00:01:30.368
15 ; 00:27:39.695 ; 00:03:22.742
16 ; 00:29:25.274 ; 00:01:45.579
17 ; 00:31:11.571 ; 00:01:46.297
18 ; 00:32:04.726 ; 00:00:53.155
19 ; 00:33:12.229 ; 00:01:07.503
20 ; 00:35:29.031 ; 00:02:16.802
21 ; 00:36:34.832 ; 00:01:05.801
22 ; 00:41:11.435 ; 00:04:36.603
23 ; 00:43:18.760 ; 00:02:07.325
24 ; 00:44:58.127 ; 00:01:39.367
25 ; 00:46:44.151 ; 00:01:46.024
26 ; 00:50:42.891 ; 00:03:58.740
27 ; 00:52:04.016 ; 00:01:21.125
28 ; 00:53:23.573 ; 00:01:19.557
29 ; 00:54:54.472 ; 00:01:30.899
30 ; 00:56:33.026 ; 00:01:38.554
31 ; 00:58:03.183 ; 00:01:30.157
32 ; 01:00:15.395 ; 00:02:12.212
33 ; 01:02:20.252 ; 00:02:04.857
34 ; 01:04:19.336 ; 00:01:59.084
35 ; 01:06:17.506 ; 00:01:58.170
36 ; 01:11:20.734 ; 00:05:03.228
37 ; 01:11:47.980 ; 00:00:27.246
