Multi Timer Lap list
cierra puerta
No ; Duration ; Lap
1 ; 00:01:06.273 ; 00:01:06.273
2 ; 00:02:43.258 ; 00:01:36.985
3 ; 00:04:52.582 ; 00:02:09.324
4 ; 00:05:56.064 ; 00:01:03.482
5 ; 00:07:18.365 ; 00:01:22.301
6 ; 00:11:21.486 ; 00:04:03.121
7 ; 00:13:12.176 ; 00:01:50.690
8 ; 00:15:11.919 ; 00:01:59.743
9 ; 00:16:37.451 ; 00:01:25.532
10 ; 00:21:21.408 ; 00:04:43.957
11 ; 00:22:57.820 ; 00:01:36.412
12 ; 00:28:04.809 ; 00:05:06.989
13 ; 00:29:40.656 ; 00:01:35.847
14 ; 00:31:14.581 ; 00:01:33.925
15 ; 00:32:19.582 ; 00:01:05.001
16 ; 00:34:02.479 ; 00:01:42.897
17 ; 00:35:43.821 ; 00:01:41.342
18 ; 00:41:38.413 ; 00:05:54.592
19 ; 00:43:36.954 ; 00:01:58.541
20 ; 00:45:12.267 ; 00:01:35.313
21 ; 00:47:01.425 ; 00:01:49.158
22 ; 00:50:53.498 ; 00:03:52.073
23 ; 00:52:23.239 ; 00:01:29.741
24 ; 00:53:38.237 ; 00:01:14.998
25 ; 00:55:08.392 ; 00:01:30.155
26 ; 00:56:46.607 ; 00:01:38.215
27 ; 00:58:14.433 ; 00:01:27.826
28 ; 01:00:27.275 ; 00:02:12.842
29 ; 01:02:32.274 ; 00:02:04.999
30 ; 01:04:30.138 ; 00:01:57.864
31 ; 01:09:13.651 ; 00:04:43.513
32 ; 01:11:47.980 ; 00:02:34.329
